,Society & Culture,Science & Mathematics,Health,Education & Reference,Computers & Internet,Sports,Business & Finance,Entertainment & Music,Family & Relationships,Politics & Government
Society & Culture,12913,723,939,1235,420,222,793,584,1902,1269
Science & Mathematics,361,16887,1272,1287,378,140,292,143,92,148
Health,412,739,17607,280,165,226,301,122,1025,123
Education & Reference,1609,3436,656,10668,862,362,1236,495,386,1290
Computers & Internet,103,236,70,307,19105,81,519,340,159,80
Sports,176,269,297,181,225,19078,173,243,191,167
Business & Finance,1503,929,982,1332,1835,397,10694,767,1485,1077
Entertainment & Music,1465,461,524,535,1012,679,559,14230,1079,456
Family & Relationships,1179,90,1044,273,403,156,405,381,16793,276
Politics & Government,1013,325,313,650,289,170,1073,126,300,16741
